gletters	Gõ các chữ cái trên bàn phím trước khi chúng chạm đất.
gnumch-equality	Dùng phím mũi tên dẫn Quái Ăn Số tới những số được yêu cầu rồi bấm phím cách để nuốt chúng.
gnumch-factors	Dùng phím mũi tên dẫn Quái Ăn Số tới các ước của số đang hiện rồi bấm phím cách để nuốt chúng.
gnumch-inequality	Dùng phím mũi tên dẫn Quái Ăn Số tới những số khác với số đang hiện rồi bấm phím cách để nuốt chúng.
gnumch-multiples	Dùng phím mũi tên dẫn Quái Ăn Số tới các bội của số đang hiện rồi bấm phím cách để nuốt chúng.
gnumch-primes	Dùng phím mũi tên dẫn Quái Ăn Số tới các số nguyên tố rồi bấm phím cách để nuốt chúng.
guesscount	Dùng các số và phép tính gợi ý để ra kết quả yêu cầu ở phía trên.
guessnumber	Tìm ra con số bằng cách gõ một số trong khoảng cho trước.
hangman	Có một từ đang bị giấu, con phải tìm ra từng chữ cái của nó.
hanoi	Xếp lại ở chỗ trống một cái tháp giống hệt cái con thấy bên phải.
hanoi_real	Xếp lại tháp mẫu sang cọc bên phải. Cẩn thận nhé, không được đặt đĩa to lên trên đĩa nhỏ.
hexagon	Bấm vào các ô lục giác để tìm vật giấu bên dưới, vùng màu đỏ nghĩa là con đang tới gần rồi đấy!
imagename	Kéo thả từng món đồ lên trên tên của nó.
instruments	Bấm vào đúng loại nhạc cụ.
land_safe	Dùng phím mũi tên lái tàu vũ trụ hạ cánh an toàn xuống bãi đáp.
lang	Chọn ngôn ngữ con muốn học rồi ôn lại các từ trước khi làm bài tập.
leftright	Đoán xem hình là bàn tay trái hay bàn tay phải rồi bấm vào câu trả lời đúng.
lightsoff	Bấm vào các bóng đèn để tắt hết chúng đi.
louis-braille	Khám phá câu chuyện về Louis Braille.
magic-hat-minus	Bấm vào chiếc mũ. Xem còn bao nhiêu ngôi sao đang trốn dưới mũ nào.
magic-hat-plus	Đếm số ngôi sao giấu dưới mũ rồi bấm vào các ngôi sao để cho biết số đó.
maze	Dùng phím mũi tên hoặc vuốt trên màn hình để giúp Tux tìm đường ra.
mazeinvisible	Dùng phím mũi tên hoặc vuốt trên màn hình để dẫn Tux ra ngoài. Bấm biểu tượng mê cung hoặc phím cách để xem bản đồ.
mazerelative	Giúp Tux tìm đường ra. Phím trái phải để quay, phím lên để đi tới.
melody	Nghe chuỗi âm thanh rồi bấm vào các thanh đàn để chơi lại đúng như vậy.
memory	Bấm vào một tấm thẻ rồi tìm tấm giống hệt nó.
memory-enumerate	Ghép tấm thẻ ghi số với tấm thẻ có đúng bấy nhiêu con bướm.
memory-math-add	Lật hai tấm thẻ để ghép phép cộng với kết quả của nó.
memory-math-add-minus	Lật hai tấm thẻ để ghép phép cộng hoặc phép trừ với kết quả của nó.
memory-math-add-minus-mult-div	Lật hai tấm thẻ để ghép phép tính với kết quả của nó.
memory-math-add-minus-mult-div-tux	Lật hai tấm thẻ để ghép phép tính với kết quả của nó, đấu với Tux.
memory-math-add-minus-tux	Lật hai tấm thẻ để ghép phép cộng hoặc phép trừ với kết quả của nó, đấu với Tux.
memory-math-add-tux	Lật hai tấm thẻ để ghép phép cộng với kết quả của nó, đấu với Tux.
memory-math-div	Lật hai tấm thẻ để ghép phép chia với kết quả của nó.
memory-math-div-tux	Lật hai tấm thẻ để ghép phép chia với kết quả của nó, đấu với Tux.
memory-math-minus	Lật hai tấm thẻ để ghép phép tính với kết quả của nó.
memory-math-minus-tux	Lật hai tấm thẻ để ghép phép trừ với kết quả của nó, đấu với Tux.
memory-math-mult	Lật hai tấm thẻ để ghép phép nhân với kết quả của nó.
memory-math-mult-div	Lật hai tấm thẻ để ghép phép nhân hoặc phép chia với kết quả của nó.
memory-math-mult-div-tux	Lật hai tấm thẻ để ghép phép nhân hoặc phép chia với kết quả của nó, đấu với Tux.
memory-math-mult-tux	Lật hai tấm thẻ để ghép phép nhân với kết quả của nó, đấu với Tux.
memory-sound	Bấm vào một tấm thẻ âm thanh rồi tìm tấm giống hệt nó.
memory-sound-tux	Bấm vào một tấm thẻ âm thanh rồi tìm tấm giống hệt nó, đấu với Tux.
memory-tux	Bấm vào một tấm thẻ rồi tìm tấm giống hệt nó, đấu với Tux.
memory-wordnumber	Ghép chữ số với tên gọi của nó.
mining	Nhìn vào vách đá, con sẽ thấy một chỗ lấp lánh. Đưa con trỏ chuột tới chỗ lấp lánh đó rồi lăn bánh xe chuột hoặc chụm ngón tay để phóng to.
missing-letter	Tìm chữ cái còn thiếu và hoàn thành từ bằng cách bấm vào một trong các chữ cái bên cạnh.
money	Bấm hoặc chạm vào tiền để trả.
money_back	Bấm vào tiền ở cuối màn hình để thối lại cho Tux.
money_back_cents	Bấm vào tiền ở cuối màn hình để thối lại cho Tux.
money_cents	Bấm vào tiền để trả.
mosaic	Đặt từng món đồ vào đúng chỗ như trong hình mẫu.
note_names	Nhận ra nốt nhạc rồi bấm đúng phím đàn.
number_sequence	Vẽ ra bức tranh bằng cách chạm vào các số theo thứ tự tăng dần.
paintings	Bắt từng mảnh rồi thả vào đúng điểm.
photo_hunter	Nhìn kỹ hai bức tranh rồi bấm vào chỗ con thấy khác nhau.
piano_composition	Học cách soạn nhạc dương cầm bằng các quãng tám và những công cụ ở phía trên khuông nhạc.
planegame	Dùng phím mũi tên lái trực thăng bắt các con số trong mây theo thứ tự tăng dần.
play_piano	Bấm các phím đàn ứng với những nốt con nhìn thấy và nghe được.
play_rhythm	Gõ vào trống để chơi lại đúng nhịp.
railroad	Quan sát đoàn tàu rồi bấm vào các toa để xếp lại một đoàn tàu giống hệt.
readingh	Đọc một danh sách từ rồi cho biết một từ có nằm trong đó không.
readingv	Đọc danh sách từ theo hàng dọc rồi cho biết một từ có nằm trong đó không.
redraw	Dùng công cụ vẽ để dựng lại một hình y hệt ở bên phải.
redraw_symmetrical	Dùng công cụ vẽ để dựng lại hình bên phải theo phép đối xứng.
renewable_energy	Bấm vào từng chặng làm nên nguồn điện.
reversecount	Bấm vào quân đô-mi-nô rồi bấm nút Đồng ý để cho biết Tux phải đi qua bao nhiêu tảng băng mới ăn được cá.
scalesboard	Kéo các quả cân lên cho cân thăng bằng.
scalesboard_weight	Kéo các quả cân lên cho cân thăng bằng rồi tính khối lượng.
smallnumbers	Đếm số chấm trên con xúc xắc rồi gõ số đó trên bàn phím trước khi nó chạm đất.
submarine	Lái tàu ngầm tới mép phải màn hình mà không va vào thứ gì.
sudoku	Chọn một số hoặc một ký hiệu rồi bấm vào ô cần điền. Mỗi ký hiệu chỉ được xuất hiện một lần trên mỗi hàng, mỗi cột và mỗi vùng nhỏ nếu có.
superbrain	Tìm ra đúng tổ hợp màu. Chấm viền ô đen nghĩa là con đã đúng màu và đúng vị trí, còn chấm viền ô trắng nghĩa là đúng màu nhưng sai vị trí.
tangram	Bấm vào từng mảnh để ghép ra đúng hình mẫu. Bấm vào mũi tên để xoay mảnh ghép.
target	Bấm vào tấm bia để phóng phi tiêu, rồi tính tổng điểm của con!
traffic	Đẩy các xe để chừa chỗ cho chiếc xe đỏ ra khỏi bãi.
watercycle	Bấm vào từng bộ phận làm nên hệ thống cấp nước. Rồi bấm nút vòi sen cho Tux tắm.
wordsgame	Gõ các từ trên bàn phím trước khi chúng chạm đất.
